Car_Age,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,depreciation
2,0.87,1.5,1,1,1,0.31034482758620696
3,0.95,1.66,1,1,1,0.368421052631579
5,1.2,3.2,1,1,1,0.5
2,0.8,2.0,1,1,1,0.2500000000000001
3,0.84,2.9,1,1,1,0.2857142857142857
2,0.84,2.5,1,1,1,0.2857142857142857
4,0.99,2.5,1,1,1,0.3939393939393939
6,0.81,1.9,1,1,1,0.2592592592592593
4,0.787,1.5,1,1,1,0.30114358322744594
3,0.84,5.8,1,1,1,0.3452380952380951
8,0.94,4.5,1,1,1,0.44680851063829785
2,0.94,2.4,1,1,1,0.45744680851063824
7,0.826,0.6,1,1,1,0.3946731234866828
2,0.55,3.1,1,1,1,0.09090909090909094
6,0.99,1.3,1,1,1,0.4949494949494949
5,0.99,4.5,1,1,1,0.4949494949494949
4,0.88,0.8,1,1,1,0.43181818181818177
1,0.51,0.43,1,1,0,0.05882352941176472
1,0.52,1.5,1,1,1,0.07692307692307698
3,0.84,2.3,1,1,1,0.4285714285714286
1,0.54,0.86,1,1,1,0.11111111111111116
1,0.51,0.4,1,1,0,0.11764705882352944
7,0.95,2.4,1,1,1,0.5263157894736842
4,0.826,2.3,1,1,1,0.4552058111380145
6,0.99,1.45,1,1,1,0.5454545454545454
8,0.95,2.7,1,1,1,0.5263157894736842
2,0.54,1.4,1,1,1,0.16666666666666674
2,0.54,0.05,1,1,0,0.16666666666666674
2,0.55,0.1,1,1,1,0.18181818181818188
4,0.81,4.2,1,1,1,0.4814814814814815
5,0.73,1.2,1,1,1,0.4246575342465754
3,0.54,1.4,1,1,1,0.2592592592592593
6,0.83,0.55,1,1,1,0.5180722891566265
3,0.55,0.67,1,1,1,0.2727272727272727
4,0.64,1.37,1,1,1,0.375
1,0.51,0.13,1,1,0,0.21568627450980393
3,0.72,3.86,1,1,1,0.4722222222222222
7,0.787,7.5,1,1,1,0.5171537484116899
7,1.05,3.0,1,1,1,0.6666666666666667
2,0.57,2.4,1,1,0,0.38596491228070173
4,0.52,1.9,1,1,0,0.326923076923077
8,1.05,21.3,1,1,1,0.7047619047619047
6,0.51,6.0,1,1,1,0.4117647058823529
2,0.48,5.0,1,1,1,0.375
5,0.58,3.0,1,1,1,0.48275862068965514
5,0.47,2.1,1,1,1,0.42553191489361697
10,0.75,2.6,1,1,1,0.6666666666666667
10,0.58,0.19,1,1,0,0.5689655172413792
8,0.52,2.2,1,1,0,0.5192307692307693
5,0.51,3.2,1,1,1,0.5098039215686274
5,0.57,1.8,1,1,1,0.5614035087719298
13,0.57,5.5,1,1,1,0.6491228070175439
10,0.75,6.0,1,1,1,0.7333333333333334
6,0.57,2.5,1,1,1,0.6491228070175439
11,0.75,4.9,1,1,1,0.7333333333333334
5,0.65,2.4,1,1,1,0.6923076923076923
10,0.787,5.0,1,1,1,0.7458703939008895
3,0.32,3.5,1,1,1,0.4375
8,0.51,3.3,1,1,1,0.6862745098039216
7,0.57,3.5,1,1,1,0.736842105263158
11,0.58,5.3,1,1,1,0.7931034482758621
12,0.75,9.2233,1,1,1,0.8666666666666667
8,6.79,5.8,0,0,1,0.5213549337260677
3,5.7,2.82,1,0,1,0.22807017543859642
7,4.6,5.346,1,0,1,0.35869565217391297
3,4.43,2.8282,1,0,1,0.37923250564334077
2,5.7,0.3493,1,0,1,0.07894736842105265
1,7.13,1.2479,1,0,1,0.19354838709677413
3,5.7,3.4797,1,0,0,0.0964912280701754
1,8.1,0.3435,1,0,1,0.024691358024691246
3,5.7,2.1125,0,0,1,0.149122807017544
6,4.6,3.5775,1,0,1,0.326086956521739
3,14.79,4.3535,0,0,1,0.20554428668018931
2,13.6,2.2671,1,0,1,0.17279411764705876
7,6.79,3.1604,1,0,1,0.572901325478645
1,5.7,2.0114,1,0,1,0.07894736842105265
6,9.4,3.61,1,0,1,0.5212765957446809
2,4.43,1.25,1,0,1,0.34537246049661396
2,4.43,1.5,1,0,1,0.2889390519187358
4,9.4,4.5078,1,0,1,0.31382978723404253
6,9.4,3.6,1,0,1,0.5212765957446809
1,4.43,3.8488,1,0,1,0.20993227990970653
5,6.79,3.2,1,0,0,0.33726067746686306
4,7.6,7.7632,0,0,1,0.21052631578947367
3,9.4,6.1381,0,0,1,0.12234042553191493
5,9.4,3.6198,1,0,0,0.4563829787234043
7,4.6,2.2517,1,0,1,0.4130434782608695
3,5.7,2.4678,1,0,1,0.07894736842105265
7,4.43,5.7,1,0,1,0.42437923250564336
6,9.4,6.0,0,0,1,0.473404255319149
6,6.79,5.2132,0,0,1,0.5434462444771724
5,9.4,4.5,0,0,1,0.3457446808510638
1,9.4,1.5001,1,0,1,0.015957446808510634
3,14.79,1.29,1,0,0,0.22582826233941855
5,5.7,5.3,0,0,1,0.3157894736842105
3,5.7,0.4492,1,0,1,0.03508771929824561
1,9.4,1.5141,1,0,1,0.03191489361702138
2,4.43,1.1849,1,0,1,0.3002257336343115
3,13.6,6.8,0,0,1,0.17279411764705876
5,9.4,6.0241,1,0,1,0.4893617021276596
6,4.43,2.3709,1,0,1,0.5485327313769751
6,9.4,3.2322,0,0,1,0.43085106382978733
3,7.13,3.5866,1,0,1,0.33380084151472644
4,7.13,3.4,1,0,1,0.3828892005610097
2,7.6,0.7,1,0,1,0.17763157894736836
5,9.4,4.9,0,0,1,0.3670212765957447
6,9.4,7.1,0,0,1,0.44680851063829785
6,6.79,3.5,1,0,1,0.4477172312223858
3,9.4,3.6,1,0,1,0.3670212765957447
5,4.6,3.0,1,0,1,0.13043478260869557
2,7.6,1.7,1,0,1,0.3092105263157895
2,13.6,3.5934,0,0,1,0.051470588235294046
5,9.9,5.6701,1,0,1,0.4949494949494949
3,6.82,3.1427,1,0,0,0.2082111436950146
4,9.9,4.8,0,0,1,0.2727272727272727
5,9.9,5.4242,1,0,1,0.4696969696969697
6,5.35,5.3675,1,0,1,0.43925233644859807
2,13.6,4.9562,1,0,1,0.24632352941176472
3,13.6,4.0324,1,0,1,0.375
3,13.6,2.5,1,0,1,0.38235294117647056
4,7.0,3.6054,1,0,1,0.44285714285714284
2,13.6,2.9223,1,0,1,0.3272058823529411
2,5.97,0.56,1,0,1,0.07872696817420433
3,5.8,4.0023,1,0,1,0.31034482758620685
2,7.7,1.6002,1,0,1,0.1428571428571429
3,7.0,4.0026,1,0,1,0.4285714285714286
1,8.7,2.12,1,0,1,0.2528735632183907
4,7.0,3.5,1,0,1,0.47857142857142854
2,9.4,1.9434,0,0,1,0.11170212765957455
1,5.8,1.9,1,0,1,0.1724137931034483
3,10.0,1.8828,1,0,1,0.32999999999999996
7,10.0,6.9341,1,0,1,0.5900000000000001
9,10.0,6.9562,1,0,1,0.7
3,10.0,2.76,1,0,1,0.25
8,7.5,6.1203,1,0,1,0.7
4,6.8,1.65,1,0,1,0.22058823529411764
2,13.6,3.0753,1,0,0,0.19852941176470584
3,13.6,2.48,1,0,1,0.36397058823529405
3,13.6,2.178,1,0,1,0.2867647058823529
2,8.4,0.4,1,0,1,0.2857142857142857
4,13.6,4.0126,1,0,1,0.5404411764705882
3,5.9,1.4465,1,0,1,0.11016949152542377
12,7.6,5.0456,1,0,1,0.7236842105263157
4,14.0,6.3,0,0,1,0.4107142857142857
2,11.8,0.901,1,0,1,0.23813559322033906
5,5.9,0.98,1,0,1,0.4067796610169492
2,8.5,1.5059,1,0,0,0.12941176470588234
2,7.9,2.8569,1,0,1,0.28481012658227844
3,7.5,4.4,1,0,0,0.23333333333333328
3,13.6,3.4,1,0,1,0.38235294117647056
2,13.6,1.098,1,0,1,0.2566176470588235
4,6.4,1.9,1,0,1,0.296875
3,6.1,3.1427,1,0,1,0.11475409836065564
2,8.4,1.2,1,0,1,0.23809523809523814
8,9.9,3.8,1,0,1,0.6717171717171717
4,6.8,3.3019,1,0,1,0.44852941176470584
3,13.09,6.0076,0,0,1,0.34682964094728796
2,11.6,3.3988,0,0,1,0.18103448275862066
3,5.9,6.0,1,0,1,0.3220338983050848
9,11.0,8.7934,1,0,1,0.6954545454545454
1,12.5,0.9,0,0,1,0.07999999999999996
2,5.9,0.5464,1,0,1,0.10169491525423735
