GrLivArea,BedroomAbvGr,KitchenAbvGr,OverallQual,SalePrice
1192,3,1,5,78000
1728,6,2,5,119000
1056,3,1,5,139000
1629,3,1,8,284000
1358,2,1,7,207000
1638,3,1,6,192000
1786,3,1,5,228950
1922,3,1,9,377426
1536,3,1,7,214000
1621,3,1,7,202500
1215,3,1,6,155000
1908,4,1,8,202900
841,2,1,4,82000
1040,2,2,3,87500
1684,2,1,9,266000
1112,3,1,5,85000
1577,3,1,6,140200
958,2,1,6,151500
1478,3,1,6,157500
1626,2,1,7,154000
2728,4,1,9,437154
1869,2,1,9,318061
1453,2,1,7,190000
1111,3,1,5,95000
720,2,1,6,105900
1595,2,1,6,140000
1200,3,1,6,177500
1167,3,1,6,173000
1142,3,1,5,134000
1352,3,1,5,130000
1924,3,1,8,280000
912,2,1,6,156000
1505,3,1,5,145000
1922,4,1,7,198500
987,2,1,6,118000
1574,3,1,6,190000
1344,3,1,5,147000
1394,3,1,6,159000
1431,3,1,6,165000
1268,2,1,5,132000
1287,3,1,5,162000
1664,3,1,6,172400
1588,4,1,4,134432
752,2,1,6,125000
1319,3,1,5,123000
1928,4,1,7,219500
904,1,1,1,61000
914,2,1,5,148000
2466,4,1,8,340000
1856,1,1,9,394432
1800,3,1,6,179000
1691,3,1,5,127000
1301,2,1,7,187750
1797,3,1,7,213500
784,2,1,6,76000
1953,3,1,6,240000
1269,2,1,8,192000
1184,5,1,5,81000
1125,3,1,6,125000
1479,3,1,7,191000
2332,3,1,10,426000
1367,4,1,5,119000
1961,3,1,6,215000
882,3,1,5,106500
788,2,1,4,100000
1034,2,1,5,109000
1144,3,1,5,129000
894,2,1,5,123000
1812,4,1,5,169500
1077,2,1,5,67000
1550,2,1,7,241000
1288,1,1,8,245500
1310,3,1,7,164990
672,2,1,5,108000
2263,4,1,8,258000
1572,3,1,6,168000
1620,3,1,4,150000
1639,3,1,6,115000
1680,4,1,6,177000
2172,3,1,7,280000
2078,3,1,8,339750
1276,3,1,5,60000
1056,3,1,5,145000
1478,2,1,7,222000
1028,2,1,5,115000
2097,3,1,7,228000
1340,3,1,7,181134
1400,3,1,6,149500
2624,4,1,6,239000
1134,3,1,5,126000
1056,3,1,5,142000
1344,2,2,7,206300
1602,3,1,6,215000
988,2,1,5,113000
2630,4,1,8,315000
1196,2,1,6,139000
1389,3,1,7,135000
1644,2,1,7,275000
907,3,1,4,109008
1208,2,1,7,195400
1412,3,1,6,175000
987,2,1,6,85400
1198,4,1,6,79900
1365,2,1,5,122500
1604,3,1,6,181000
630,1,1,4,81000
1661,3,1,7,212000
1118,2,1,6,116000
904,2,1,6,119000
694,2,1,5,90350
1196,3,1,6,110000
2402,2,1,10,555000
1440,4,2,4,118000
1573,3,1,5,162900
1258,2,1,7,172500
1908,4,1,7,210000
1689,3,1,6,127500
1888,2,1,6,190000
1886,4,1,7,199900
1376,3,1,6,119500
1183,2,1,3,120000
813,2,1,6,110000
1533,2,1,7,280000
1756,3,1,6,204000
1590,3,1,8,210000
1728,4,2,5,188000
1242,3,1,7,175500
1344,4,1,5,98000
1663,2,1,4,256000
1666,3,1,8,161000
1203,3,1,5,110000
1935,3,1,8,263435
1135,3,1,7,155000
864,3,1,5,62383
1660,3,1,6,188700
1040,3,1,5,124000
1414,2,1,7,178740
1277,2,1,7,167000
1644,3,1,5,146500
1634,3,1,8,250000
1710,3,1,6,187000
1502,1,1,8,212000
1969,3,1,7,190000
1072,2,1,6,148000
1976,2,1,8,440000
1652,2,1,8,251000
970,2,1,5,132500
1493,3,1,6,208900
2643,3,1,9,380000
1718,3,1,8,297000
1131,2,1,4,89471
1850,3,1,9,326000
1792,2,1,9,374000
1826,4,1,7,155000
1216,2,1,6,164000
999,3,1,5,132500
1113,3,1,5,147000
1073,3,1,5,156000
1484,3,1,5,175000
2414,3,2,5,160000
630,1,1,4,86000
1304,3,1,5,115000
1578,3,1,6,133000
1456,3,1,6,172785
1269,3,1,5,155000
886,2,1,5,91300
720,2,1,4,34900
3228,4,1,8,430000
1820,4,1,7,184000
899,3,1,5,130000
912,2,1,5,120000
1218,3,1,6,113000
1768,3,1,7,226700
1214,2,1,5,140000
1801,1,1,7,289000
1322,3,1,6,147000
1960,4,2,5,124500
1911,3,1,8,215000
1218,2,1,6,208300
1378,3,1,7,161000
1041,3,1,5,124500
1363,2,1,5,164900
1368,2,1,7,202665
864,3,1,5,129900
1080,3,1,6,134000
789,2,1,5,96500
2020,3,1,10,402861
2119,3,1,6,158000
2344,3,1,7,265000
1796,3,1,6,211000
2080,3,1,7,234000
1294,3,2,4,106250
1244,3,1,6,150000
1664,3,1,6,159000
4676,3,1,10,184750
2398,3,1,7,315750
1266,3,1,7,176000
928,2,1,5,132000
2713,3,1,9,446261
605,2,1,4,86000
2515,4,2,6,200624
1509,3,1,6,175000
1362,3,1,6,128000
827,2,1,5,107500
334,1,1,1,39300
1414,3,1,8,178000
1347,3,1,5,107500
1724,3,1,7,188000
864,3,1,4,111250
1159,3,1,5,158000
1601,3,1,8,272000
1838,2,1,9,315000
2285,4,1,8,248000
1680,3,1,7,213250
767,1,1,7,133000
1496,3,1,7,179665
2183,4,1,7,229000
1635,3,1,6,210000
768,2,1,5,129500
825,2,1,5,125000
2094,4,1,7,263000
1069,2,1,6,140000
928,3,1,5,112500
1717,3,1,8,255500
1126,2,1,4,108000
2046,3,1,7,284000
1048,2,1,5,113000
1092,2,1,5,141000
1336,3,1,4,108000
1446,3,1,7,175000
1557,2,1,7,234000
1392,3,1,5,121500
1389,2,1,5,170000
996,3,1,5,108000
1674,4,1,6,185000
2295,4,1,7,268000
1647,4,1,6,128000
2504,4,1,9,325000
1535,3,1,7,214000
2132,1,1,8,316600
943,2,1,5,135960
1728,6,2,5,142600
864,2,1,6,120000
1692,3,1,7,224500
1430,3,1,7,170000
1109,3,1,5,139000
1216,2,1,5,118500
1477,3,1,7,145000
1320,3,1,5,164500
1392,2,1,7,146000
1795,4,1,5,131500
1429,3,1,6,181900
2042,3,1,8,253293
816,3,1,6,118500
2775,3,1,10,325000
1573,3,1,4,133000
2028,2,1,8,369900
838,2,1,6,130000
860,2,1,5,137000
1473,1,1,5,143000
935,2,1,5,79500
1582,3,1,7,185900
2296,3,1,10,451950
816,2,1,5,138000
848,1,1,6,140000
924,3,1,5,110000
1826,3,1,8,319000
1368,3,1,6,114504
1402,2,1,7,194201
1647,3,1,5,217500
1556,3,1,6,151000
1904,3,1,8,275000
1375,3,1,6,141000
1915,3,1,8,220000
1200,2,1,7,151000
1494,3,1,7,221000
1986,3,1,7,205000
1040,3,1,5,152000
2008,3,1,5,225000
3194,4,1,8,359100
1029,3,1,4,118500
2153,3,1,9,313000
1032,3,1,6,148000
1872,3,1,8,261500
1120,3,1,5,147000
630,1,1,4,75500
1054,3,1,6,137500
1509,3,1,6,183200
832,2,1,6,105500
1828,3,1,9,314813
2262,4,1,8,305000
864,2,1,3,67000
2614,4,1,6,240000
980,3,1,5,135000
1512,2,1,6,168500
1790,4,1,6,165150
1116,3,1,6,160000
1422,3,1,5,139900
1520,3,1,6,153000
2080,5,1,5,135000
1350,3,1,6,168500
1750,3,1,5,124000
1554,2,1,8,209500
1411,3,1,7,82500
1056,3,1,5,139400
1056,0,2,6,144000
3395,8,2,6,200000
800,1,1,2,60000
1387,3,2,5,93000
796,2,1,5,85000
1567,1,1,8,264561
1518,1,1,8,274000
1929,3,1,7,226000
2704,4,1,8,345000
1620,4,1,5,152000
1766,2,1,9,370878
981,3,1,6,143250
1048,3,1,5,98300
1094,3,1,6,155000
1839,4,1,6,155000
630,1,1,4,84500
1665,3,1,7,205950
1510,4,1,4,108000
1716,2,1,7,191000
1469,3,1,6,135000
2113,2,1,8,350000
1092,3,1,6,88000
1053,3,1,5,145500
1502,3,1,7,149000
1458,3,1,6,97500
1486,3,1,5,167000
1935,3,1,7,197900
2448,4,1,8,402000
1392,2,1,6,110000
1181,3,1,4,137500
2097,1,1,8,423000
1936,3,1,8,230500
2380,3,1,6,129000
1679,3,1,6,193500
1437,3,1,5,168000
1180,2,1,4,137500
1476,3,1,6,173500
1369,3,1,6,103600
1208,3,1,6,165000
1839,3,1,6,257500
1136,3,1,6,140000
1441,3,1,6,148500
1774,4,2,4,87000
792,2,1,5,109500
2046,3,1,8,372500
988,3,1,5,128500
923,2,1,6,143000
1520,3,1,5,159434
1291,2,1,6,173000
1668,3,1,9,285000
1839,4,1,7,221000
2090,3,1,7,207500
1761,3,1,7,227875
1102,2,1,7,148800
1419,2,1,8,392000
1362,2,1,6,194700
848,1,1,6,141000
4316,4,1,10,755000
2519,4,1,7,335000
1073,2,1,5,108480
1539,3,1,5,141500
1137,2,1,6,176000
616,2,1,5,89000
1148,2,1,5,123500
894,3,1,5,138500
1391,2,1,7,196000
1800,3,1,8,312500
1164,3,1,7,140000
2576,4,1,8,361919
1812,4,2,5,140000
1484,3,1,7,213000
1092,3,2,4,55000
1824,2,1,7,302000
1324,2,1,8,254000
1456,3,1,7,179540
904,3,1,5,109900
729,2,1,3,52000
1178,2,1,4,102776
1228,2,1,8,189000
960,3,1,4,129000
1479,3,1,6,130500
1350,3,1,6,165000
2554,3,1,7,159500
1178,3,1,5,157000
2418,3,1,7,341000
971,3,1,5,128500
1742,2,1,8,275000
848,1,1,6,143000
864,3,1,4,124500
1470,4,1,4,135000
1698,3,1,9,320000
864,3,1,4,120500
1680,3,1,6,222000
1232,2,1,7,194500
1776,4,2,5,110000
1208,2,1,4,103000
1616,2,1,8,236500
1146,3,1,7,187500
2031,3,1,7,222500
1144,3,1,5,131400
948,3,1,5,108000
1768,2,1,7,163000
1040,2,2,3,93500
1801,3,1,8,239900
1200,3,1,5,179000
1728,3,1,7,190000
1432,2,1,5,132000
912,3,1,6,142000
1349,3,1,7,179000
1464,3,1,5,175000
1337,2,1,8,180000
2715,4,1,8,299800
2256,4,1,7,236000
2640,4,1,7,265979
1720,3,1,7,260400
1529,4,1,4,98000
1140,3,1,4,96500
1320,3,1,7,162000
1494,3,1,6,217000
2098,3,1,8,275500
1026,3,1,6,156000
1471,3,1,6,172500
1768,3,1,8,212000
1386,3,1,6,158900
1501,3,1,7,179400
2531,4,1,8,290000
864,2,1,6,127500
1301,2,1,5,100000
1547,3,1,7,215200
2365,3,1,8,337000
1494,2,1,8,270000
1506,2,1,9,264132
1714,3,1,7,196500
1750,4,1,6,160000
1836,3,1,7,216837
3279,4,1,8,538000
858,2,1,5,134900
1220,2,1,4,102000
1117,3,1,6,107000
912,2,1,5,114500
1973,3,1,8,395000
1204,2,1,6,162000
1614,3,1,7,221500
894,3,1,5,142500
2020,4,2,5,144000
1004,2,1,6,135000
1253,3,1,7,176000
1603,3,1,6,175900
1430,3,1,7,187100
1110,1,1,5,165500
1484,3,1,6,128000
1342,3,1,6,161500
1652,4,1,5,139000
2084,4,1,7,233000
901,2,1,4,107900
2087,5,1,6,187500
1145,2,1,7,160200
1062,3,1,6,146800
2013,3,1,7,269790
1496,3,1,8,225000
1895,3,1,7,194500
1564,3,1,6,171000
1285,3,1,6,143500
773,2,1,5,110000
3140,4,1,9,485000
1768,3,1,5,175000
1688,4,1,6,200000
1196,2,1,4,109900
1456,3,1,7,189000
2822,4,1,9,582933
1128,2,1,5,118000
1428,3,1,7,227680
980,3,1,5,135500
1576,3,1,5,223500
1086,3,1,5,159950
2138,2,3,5,106000
1309,3,1,6,181000
848,1,1,6,144500
1044,2,1,5,55993
1442,4,1,6,157900
1250,3,1,5,116000
1661,3,1,7,224900
1008,2,1,5,137000
1689,3,1,8,271000
1052,3,1,6,155000
1358,2,1,7,224000
1640,3,1,7,183000
936,2,1,4,93000
1733,3,1,7,225000
1489,3,1,6,139500
1489,3,1,8,232600
2084,2,1,10,385000
784,2,1,5,109500
1434,3,1,7,189000
2126,3,1,5,185000
1223,2,1,7,147400
1392,3,1,6,166000
1200,2,1,7,151000
1829,3,1,7,237000
1516,3,1,6,167000
1144,3,1,5,139950
1067,2,1,4,128000
1559,2,1,5,153500
987,2,1,6,100000
1099,3,1,5,144000
1200,3,1,5,130500
1482,4,1,6,140000
1539,3,1,5,157500
1165,3,1,6,174900
1800,6,2,5,141000
1416,4,1,5,153900
1701,3,1,5,171000
1775,3,1,7,213000
864,3,1,5,133500
2358,5,1,6,240000
1855,3,1,6,187000
848,1,1,6,131500
1456,2,1,8,215000
1646,4,1,7,164000
1445,3,1,6,158000
1779,3,1,5,170000
1040,3,1,5,127000
1026,3,1,6,147000
1481,3,1,6,174000
1370,3,1,7,152000
2654,4,1,6,250000
1426,3,1,7,189950
1039,3,1,5,131500
1097,3,1,6,152000
1148,3,1,5,132500
1372,3,1,7,250580
1002,3,1,5,148500
1646,3,1,8,248900
1120,3,1,4,129000
2320,2,1,5,169000
1949,3,1,7,236000
894,2,1,5,109500
1682,3,1,6,200500
910,3,1,5,116000
1268,3,1,5,133000
1131,3,1,5,66500
2610,4,1,8,303477
1040,3,1,4,132250
2224,4,1,9,350000
1155,3,1,5,148000
864,3,1,5,136500
1090,2,1,5,157000
1717,3,1,7,187500
1593,3,1,6,178000
2230,5,1,4,118500
892,3,1,5,100000
1709,2,1,9,328900
1712,4,2,5,145000
1393,3,1,5,135500
2217,4,1,8,268000
1505,2,1,6,149500
924,3,1,5,122900
1683,3,1,6,172500
1068,3,1,6,154500
1383,3,1,5,165000
1535,4,2,5,118858
1796,4,1,6,140000
951,2,1,4,106500
2240,6,2,5,142953
2364,2,1,9,611657
1236,3,1,5,135000
858,2,1,4,110000
1306,2,1,5,153000
1509,3,1,7,180000
1670,3,1,7,240000
902,3,1,5,125500
1063,3,1,5,128000
1636,3,1,8,255000
2057,3,1,7,250000
902,2,1,5,131000
1484,3,1,6,174000
2274,5,2,5,154300
1268,3,1,5,143500
1015,3,1,5,88000
2002,4,2,5,145000
1224,2,1,6,173733
1092,3,1,4,75000
480,1,1,2,35311
1229,3,1,4,135000
2127,4,1,7,238000
1414,3,1,6,176500
1721,3,1,6,201000
2200,4,2,5,145900
1316,3,1,6,169990
1617,2,1,6,193000
1686,3,1,6,207500
1126,3,1,5,175000
2374,4,1,8,285000
1978,4,1,7,176000
1788,3,1,8,236500
2236,4,1,7,222000
1466,3,1,8,201000
925,2,1,5,117500
1905,3,1,9,320000
1500,3,1,7,190000
2069,4,1,7,242000
747,1,1,4,79900
1200,2,1,7,184900
1971,3,1,7,253000
1962,3,1,7,239799
2403,4,1,7,244400
1728,4,2,6,150900
2060,3,1,7,214000
1440,4,2,4,150000
1632,4,2,5,143000
1344,3,1,6,137500
1869,2,1,5,124900
1144,3,1,5,143000
1629,3,1,8,270000
1776,3,1,7,192500
1381,3,1,6,197500
864,3,1,5,129000
965,3,1,5,119900
768,2,1,5,133900
1968,4,1,5,172000
980,4,0,6,127500
1958,4,2,6,145000
1229,2,1,6,124000
1057,3,1,5,132000
1337,3,1,7,185000
1416,3,1,7,155000
858,2,1,5,116500
2872,4,1,6,272000
1548,3,1,6,155000
1800,2,1,9,239000
1894,4,1,7,214900
1484,3,1,6,178900
1308,2,1,5,160000
1098,3,1,5,135000
968,2,1,3,37900
1095,2,1,6,140000
1192,4,1,4,135000
1626,2,1,7,173000
918,2,1,6,99500
1428,3,1,7,182000
2019,3,1,7,167500
1382,3,1,7,165000
869,2,1,4,85500
1241,1,1,7,199900
894,3,1,4,110000
1121,3,1,5,139000
999,3,1,7,178400
2612,4,1,8,336000
1266,2,1,7,159895
2290,4,1,8,255900
1734,4,2,5,126000
1164,3,1,5,125000
1635,2,1,6,117000
1940,3,1,9,395192
2030,4,1,6,195000
1576,3,1,7,197000
2392,3,1,8,348000
1742,4,1,8,168000
1851,3,1,6,187000
1500,3,1,6,173900
1718,3,1,10,337500
1230,3,1,4,121600
1050,3,1,5,136500
1442,2,1,6,185000
1077,3,1,3,91000
1208,2,1,7,206000
944,2,1,3,82000
691,2,1,5,86000
1574,3,1,8,232000
1680,4,2,5,136905
1504,1,1,7,181000
985,3,1,5,149900
1657,3,1,6,163500
1092,3,1,4,88000
1710,3,1,7,240000
1522,4,1,5,102000
1271,4,1,5,135000
1664,4,2,5,100000
1502,3,1,6,165000
1022,2,1,5,85000
1082,2,1,6,119200
1665,3,1,8,227000
1504,3,1,7,203000
1360,1,1,8,187500
1472,3,1,7,160000
1506,2,1,7,213490
1132,2,1,4,176000
1220,2,1,7,194000
1248,2,1,5,87000
1504,2,1,7,191000
2898,2,1,8,287000
882,3,1,5,112500
1264,3,1,5,167500
1646,3,1,8,293077
1376,3,1,5,105000
1218,3,1,6,118000
1928,5,2,5,160000
3082,5,1,7,197000
2520,5,1,8,310000
1654,3,1,7,230000
954,2,1,5,119750
845,3,1,4,84000
1620,2,1,9,315500
2263,3,1,8,287000
1344,3,1,4,97000
630,1,1,4,80000
1803,3,1,5,155000
1632,4,1,6,173000
1306,1,1,6,196000
2329,4,1,7,262280
2524,4,1,8,278000
1733,4,1,3,139600
2868,4,1,9,556581
990,3,1,5,145000
1771,3,1,5,115000
930,2,1,4,84900
1302,3,1,7,176485
1316,3,1,7,200141
1977,4,1,6,165000
1526,4,1,5,144500
1989,3,1,8,255000
1523,3,1,6,180000
1364,2,1,7,185850
1850,3,1,7,248000
2184,3,1,9,335000
1991,3,1,6,220000
1338,2,1,8,213500
894,2,1,3,81000
2337,5,2,5,90000
1103,2,1,6,110500
1154,3,1,5,154000
2260,3,1,7,328000
1571,3,1,6,178000
1611,4,1,6,167900
2521,5,1,6,151400
893,2,1,5,135000
1048,3,1,5,135000
1556,4,1,6,154000
1456,4,1,5,91500
1426,3,1,6,159500
1240,2,1,7,194000
1740,3,1,7,219500
1466,3,1,5,170000
1096,3,1,5,138800
848,1,1,6,155900
990,3,1,5,126000
1258,3,1,6,145000
1040,3,1,5,133000
1459,3,1,7,192000
1251,3,1,6,160000
1498,3,1,6,187500
996,2,1,6,147000
1092,3,1,4,83500
1953,3,1,8,252000
1709,3,1,7,137500
1247,1,1,8,197000
1040,2,2,3,92900
1252,2,1,7,160000
1694,4,1,6,136500
1200,1,1,5,146000
936,2,1,5,129000
1314,3,1,6,176432
1355,3,1,6,127000
1088,2,1,8,170000
1324,3,1,4,128000
1601,3,1,7,157000
438,1,1,2,60000
950,3,1,5,119500
1134,2,1,5,135000
1194,3,1,6,159500
1302,3,1,5,106000
2622,3,1,8,325000
1442,3,1,7,179900
2021,3,1,7,274725
1690,3,1,6,181000
1836,3,1,8,280000
1658,3,1,6,188000
1964,4,1,7,205000
816,2,1,5,129900
1008,2,1,5,134500
833,2,1,5,117000
1734,3,1,8,318000
1419,3,1,8,184100
894,3,1,5,130000
1601,3,1,5,140000
1040,3,1,5,133700
1012,2,1,6,118400
1552,3,1,7,212900
960,3,1,4,112000
698,2,1,5,118000
1482,3,1,7,163900
1005,2,1,4,115000
1555,2,1,7,174000
1530,3,1,7,259000
1959,4,1,7,215000
936,2,1,5,140000
1981,4,1,4,135000
974,3,1,5,93500
2210,5,1,6,117500
2020,3,1,8,239500
1600,3,1,6,169000
986,2,1,6,102000
1252,3,1,6,119000
1020,2,1,5,94000
1567,2,1,6,196000
1167,3,1,5,144000
952,2,1,5,139000
1868,4,1,5,197500
2828,4,1,8,424870
1006,3,1,5,80000
924,2,1,4,80000
1576,3,1,5,149000
1298,3,1,6,180000
1564,3,1,7,174500
1111,2,1,7,116900
1482,3,1,7,143000
932,2,1,6,124000
1466,3,1,5,149900
1811,2,1,6,230000
816,2,1,6,120500
1820,4,1,7,201800
1437,3,1,5,218000
1265,3,1,5,179900
1314,2,1,7,230000
1580,3,1,8,235128
1876,4,1,6,185000
1456,3,1,6,146000
1640,3,1,6,224000
894,3,1,5,129000
1258,0,2,4,108959
1432,2,1,5,194000
1502,3,1,7,233170
1694,3,1,8,245350
1671,3,1,6,173000
2108,4,1,6,235000
3627,4,1,10,625000
1118,3,1,6,171000
1261,3,1,6,163000
1250,2,1,7,171900
3086,3,1,5,200500
2345,4,1,6,239000
2872,4,1,8,285000
